,Unnamed: 0,Unnamed: 0.1,country,hdr2019,hdiTier,inf_mort2019,pop2019,continent
127,130,130,Comoros,0.554,Medium,48.7,850891.0,Africa
128,131,131,Mauritania,0.546,Low,50.2,4525698.0,Africa
129,132,132,Benin,0.545,Low,57.9,11801151.0,Africa
130,133,133,Uganda,0.544,Low,33.0,44269587.0,Africa
131,134,134,Rwanda,0.543,Low,31.1,12626938.0,Africa
132,135,135,Nigeria,0.539,Low,74.0,200963603.0,Africa
133,136,136,Tanzania,0.529,Low,35.8,58005461.0,Africa
134,137,137,Madagascar,0.528,Low,37.2,26969306.0,Africa
135,138,138,Lesotho,0.527,Low,71.4,2125267.0,Africa
136,139,139,Djibouti,0.524,Low,48.6,973557.0,Africa
137,140,140,Togo,0.515,Low,45.5,8082359.0,Africa
138,141,141,Senegal,0.512,Low,29.8,16296362.0,Africa
139,142,142,Afghanistan,0.511,Low,46.4,38041757.0,Asia
140,143,143,Sudan,0.51,Low,41.0,42813237.0,Africa
141,144,144,Haiti,0.51,Low,47.8,11263079.0,North America
142,145,145,Ethiopia,0.485,Low,36.6,112078727.0,Africa
143,146,146,Malawi,0.483,Low,30.1,18628749.0,Africa
144,147,147,Liberia,0.48,Low,59.5,4937374.0,Africa
145,148,148,Guinea,0.477,Low,63.4,12771246.0,Africa
146,149,149,Eritrea,0.459,Low,30.5,,Africa
147,150,150,Mozambique,0.456,Low,54.3,30366043.0,Africa
148,152,152,Sierra Leone,0.452,Low,82.4,7813207.0,Africa
149,153,153,Mali,0.434,Low,60.3,19658023.0,Africa
150,154,154,Burundi,0.433,Low,39.9,11530577.0,Africa
151,155,155,South Sudan,0.433,Low,63.3,11062114.0,Africa
152,156,156,Chad,0.398,Low,69.0,15946882.0,Africa
153,157,157,Central African Republic,0.397,Low,79.1,4745179.0,Africa
154,158,158,Niger,0.394,Low,46.7,23310719.0,Africa
